game_id,view_count
2,82
5,23
3,115
4,39
8,23
9,13
7,17
13,10
10,14
6,12
125,2
23,2
15,11
30,2
194,2
178,2
179,2
1,81
156,2
27,5
37,5
39,3
78,2
12,18
1764678558585,2
44,4
22,2
28,1
14,3
36,2
197,1
19,16
68,1
47,3
95,4
195,1
175,2
135,2
196,7
118,3
76,1
162,1
51,5
31,4
29,1
105,1
77,7
16,2
25,1
53,1
58,1
1765253784851,5
1764680318866,2
55,1
11,1
32,4
193,2
1765254302033,1
34,1
50,3
45,1
80,4
140,2
1765253655572,1
154,1
54,6
110,2
66,1
1765254193267,1
43,1
109,1
81,4
21,2
46,1
101,1
199,1
198,1
1765253564732,1
24,1
